;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;genero;total_genero
935;2908309;Conceição do Almeida;Recôncavo;2010;total_homens;8704
936;2908408;Conceição do Coité;Sisal;2010;total_homens;30707
937;2908507;Conceição do Jacuípe;Portal do Sertão;2010;total_homens;14559
938;2908606;Conde;Litoral Norte e Agreste Baiano;2010;total_homens;11834
939;2908705;Condeúba;Sudoeste Baiano;2010;total_homens;8270
940;2908804;Contendas do Sincorá;Sertão Produtivo;2010;total_homens;2380
941;2908903;Coração de Maria;Portal do Sertão;2010;total_homens;10841
942;2909000;Cordeiros;Sudoeste Baiano;2010;total_homens;4048
943;2909109;Coribe;Bacia do Rio Corrente;2010;total_homens;7199
944;2909208;Coronel João Sá;Semiárido Nordeste II;2010;total_homens;8796
945;2909307;Correntina;Bacia do Rio Corrente;2010;total_homens;15763
946;2909406;Cotegipe;Bacia do Rio Grande;2010;total_homens;7115
947;2909505;Cravolândia;Vale do Jiquiriçá;2010;total_homens;2557
948;2909604;Crisópolis;Litoral Norte e Agreste Baiano;2010;total_homens;10236
949;2909703;Cristópolis;Bacia do Rio Grande;2010;total_homens;6869
950;2909802;Cruz das Almas;Recôncavo;2010;total_homens;27682
951;2909901;Curaçá;Sertão do São Francisco;2010;total_homens;16467
952;2910008;Dário Meira;Médio Rio de Contas;2010;total_homens;6726
953;2910057;Dias D'Ávila;Metropolitano de Salvador;2010;total_homens;32818
954;2910107;Dom Basílio;Sertão Produtivo;2010;total_homens;5870
955;2910206;Dom Macedo Costa;Recôncavo;2010;total_homens;1897
956;2910305;Elísio Medrado;Vale do Jiquiriçá;2010;total_homens;3957
957;2910404;Encruzilhada;Sudoeste Baiano;2010;total_homens;12376
958;2910503;Entre Rios;Litoral Norte e Agreste Baiano;2010;total_homens;19631
959;2900504;Érico Cardoso;Bacia do Paramirim;2010;total_homens;5422
960;2910602;Esplanada;Litoral Norte e Agreste Baiano;2010;total_homens;16334
961;2910701;Euclides da Cunha;Semiárido Nordeste II;2010;total_homens;28319
962;2910727;Eunápolis;Costa do Descobrimento;2010;total_homens;49396
963;2910750;Fátima;Semiárido Nordeste II;2010;total_homens;8949
964;2910776;Feira da Mata;Velho Chico;2010;total_homens;3197
965;2910800;Feira de Santana;Portal do Sertão;2010;total_homens;263999
966;2910859;Filadélfia;Piemonte Norte do Itapicuru;2010;total_homens;8437
967;2910909;Firmino Alves;Médio Sudoeste da Bahia;2010;total_homens;2732
968;2911006;Floresta Azul;Litoral Sul;2010;total_homens;5438
969;2911105;Formosa do Rio Preto;Bacia do Rio Grande;2010;total_homens;11660
970;2911204;Gandu;Baixo Sul;2010;total_homens;15103
971;2911253;Gavião;Bacia do Jacuípe;2010;total_homens;2356
972;2911303;Gentio do Ouro;Irecê;2010;total_homens;5448
973;2911402;Glória;Itaparica;2010;total_homens;7539
974;2911501;Gongogi;Médio Rio de Contas;2010;total_homens;4235
975;2911600;Governador Mangabeira;Recôncavo;2010;total_homens;9497
976;2911659;Guajeru;Sudoeste Baiano;2010;total_homens;5242
977;2911709;Guanambi;Sertão Produtivo;2010;total_homens;38481
978;2911808;Guaratinga;Costa do Descobrimento;2010;total_homens;11618
979;2911857;Heliópolis;Semiárido Nordeste II;2010;total_homens;6666
980;2911907;Iaçu;Piemonte do Paraguaçu;2010;total_homens;12631
981;2912004;Ibiassucê;Sertão Produtivo;2010;total_homens;5097
982;2912103;Ibicaraí;Litoral Sul;2010;total_homens;11888
983;2912202;Ibicoara;Chapada Diamantina;2010;total_homens;8754
984;2912301;Ibicuí;Médio Sudoeste da Bahia;2010;total_homens;8063
985;2912400;Ibipeba;Irecê;2010;total_homens;8758
986;2912509;Ibipitanga;Bacia do Paramirim;2010;total_homens;7048
987;2912608;Ibiquera;Piemonte do Paraguaçu;2010;total_homens;2529
988;2912707;Ibirapitanga;Baixo Sul;2010;total_homens;11534
989;2912806;Ibirapoã;Extremo Sul;2010;total_homens;4098
990;2912905;Ibirataia;Médio Rio de Contas;2010;total_homens;9440
991;2913002;Ibitiara;Chapada Diamantina;2010;total_homens;7695
992;2913101;Ibititá;Irecê;2010;total_homens;9058
993;2913200;Ibotirama;Velho Chico;2010;total_homens;12802
994;2913309;Ichu;Sisal;2010;total_homens;2588
995;2913408;Igaporã;Velho Chico;2010;total_homens;7643
996;2913457;Igrapiúna;Baixo Sul;2010;total_homens;7042
997;2913507;Iguaí;Médio Sudoeste da Bahia;2010;total_homens;13123
998;2913606;Ilhéus;Litoral Sul;2010;total_homens;89440
999;2913705;Inhambupe;Litoral Norte e Agreste Baiano;2010;total_homens;18028
1000;2913804;Ipecaetá;Portal do Sertão;2010;total_homens;7586
1001;2913903;Ipiaú;Médio Rio de Contas;2010;total_homens;21831
1002;2914000;Ipirá;Bacia do Jacuípe;2010;total_homens;29076
1003;2914109;Ipupiara;Irecê;2010;total_homens;4741
1004;2914208;Irajuba;Vale do Jiquiriçá;2010;total_homens;3506
