CodigodoMunicipio; Municipios;TerritoriosdeIdentidade;Ano;Branca;Preta;Amarela;Parda;Indigena;Ignorado
2902906;Barra do Choça;Sudoeste Baiano;1991;24,6;5;;69,7;;0,7
2903003;Barra do Mendes;Irecê;1991;36;4,4;;59,5;;0,1
2903102;Barra do Rocha;Médio Rio de Contas;1991;8,5;10,9;0;80,5;;0,1
2903201;Barreiras;Bacia do Rio Grande;1991;28,8;5,2;0,1;65,5;0;0,5
2903235;Barro Alto;Irecê;1991;27,4;1,9;;70,2;;0,4
2903300;Barro Preto/Lomanto Junior;Litoral Sul;1991;14,3;6,7;0,4;78;0,4;0,1
2903276;Barrocas;Sisal;1991;;;;;;
2903409;Belmonte;Costa do Descobrimento;1991;11,5;8,9;0,1;79;;0,6
2903508;Belo Campo;Sudoeste Baiano;1991;24,8;3,9;;71;;0,4
2903607;Biritinga;Sisal;1991;6,5;9,4;0,1;83,7;;0,3
2903706;Boa Nova;Médio Rio de Contas;1991;9,1;5,1;0,1;84,7;0,6;0,5
2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;1991;13,2;6,6;;79,4;0,2;0,6
2903904;Bom Jesus da Lapa;Velho Chico;1991;21;9,6;0,2;69;0;0,1
2903953;Bom Jesus da Serra;Sudoeste Baiano;1991;19,7;7,2;;73,1;;0
2904001;Boninal;Chapada Diamantina;1991;21,7;12,6;0;65,1;;0,6
2904050;Bonito;Chapada Diamantina;1991;21,9;7,1;;71;;
