;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;local_natural;total_natural
649;2919603;Macajuba;Piemonte do Paraguaçu;2000;natural.do.mun;9225
650;2919702;Macarani;Médio Sudoeste da Bahia;2000;natural.do.mun;11505
651;2919801;Macaúbas;Bacia do Paramirim;2000;natural.do.mun;38574
652;2919900;Macururé;Itaparica;2000;natural.do.mun;7986
653;2919926;Madre de Deus;Metropolitano de Salvador;2000;natural.do.mun;8554
654;2919959;Maetinga;Sudoeste Baiano;2000;natural.do.mun;12445
655;2920007;Maiquinique;Médio Sudoeste da Bahia;2000;natural.do.mun;5252
656;2920106;Mairi;Bacia do Jacuípe;2000;natural.do.mun;17799
657;2920205;Malhada;Velho Chico;2000;natural.do.mun;13141
658;2920304;Malhada de Pedras;Sertão Produtivo;2000;natural.do.mun;7560
659;2920403;Manoel Vitorino;Médio Rio de Contas;2000;natural.do.mun;14802
660;2920452;Mansidão;Bacia do Rio Grande;2000;natural.do.mun;10166
