CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2001;Ano2002;Ano2003;Ano2004;Ano2005;Ano2006;Ano2007;Ano2008;Ano2009;Ano2011;Ano2012;Ano2013;Ano2014;Ano2015;Ano2016;Ano2017;Ano2018;Ano2019;Ano2020
2927200;Ruy Barbosa;Piemonte do Paraguaçu;28837;28810;28710;28500;28383;28270;29358;30316;30422;29950;30010;31799;31780;31867;31933;32009;30767;30814;30857
2927309;Salinas da Margarida;Recôncavo;10554;13154;13291;10960;11090;11215;13090;13850;14194;13693;13921;14937;15171;15385;15585;15772;15463;15667;15862
2927408;Salvador;Metropolitano de Salvador;2485702;2520504;2556429;2631831;2673560;2714018;2892625;2948733;2998056;2693606;2710968;2883682;2902927;2921087;2938092;2953986;2857329;2872347;2886698
2927507;Santa Bárbara;Portal do Sertão;18057;18178;18292;18531;18663;18791;19440;20242;20461;19180;19292;20509;20635;20754;21310;21415;20694;20791;20883
2927606;Santa Brígida;Semiárido Nordeste II;17532;17663;18016;18757;19167;19564;15483;15781;15652;14876;14698;15381;15237;15100;15091;14976;14088;14213;14063
2927705;Santa Cruz Cabrália;Costa do Descobrimento;26010;27539;29234;32791;34760;36669;25110;26051;26250;26447;26623;27854;28045;28226;28394;28552;27626;27778;27922
2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;7041;7103;7140;7216;7258;7299;6386;6502;6443;6630;6481;6808;6778;6750;6723;6698;6354;6315;6278
2927903;Santa Inês;Vale do Jiquiriçá;11139;11233;11329;11529;11640;11748;10564;10833;10803;10337;10312;10884;11186;11177;11169;11161;10656;10631;10606
2928000;Santaluz;Sisal;30967;31023;31054;31120;31156;31191;33633;35029;35416;34060;34274;36452;36690;36915;38219;38422;37158;37348;37531
2928059;Santa Luzia;Litoral Sul;15378;15331;15252;15084;14992;14902;15184;15615;15613;13182;13025;13710;13579;13626;13508;13398;12751;12597;12449
