Codigo do Municipio;Municipios;Territorios Identidade;Total;Nascidos vivos;Nascidos mortos;percentual_nascidosvivos
2911659;Guajeru;Sudoeste Baiano;11260;10854;406;0,036056838
2911709;Guanambi;Sertão Produtivo;77244;73525;3719;0,048146134
2911808;Guaratinga;Costa do Descobrimento;27448;25859;1589;0,057891285
2911857;Heliópolis;Semiárido Nordeste II;16460;15655;805;0,04890644
2911907;Iaçu;Piemonte do Paraguaçu;32583;30056;2527;0,077555781
2912004;Ibiassucê;Sertão Produtivo;10221;9843;378;0,036982683
2912103;Ibicaraí;Litoral Sul;28530;27067;1463;0,051279355
2912202;Ibicoara;Chapada Diamantina;14856;14151;705;0,047455574
2912301;Ibicuí;Médio Sudoeste da Bahia;18271;17217;1054;0,057687045
2912400;Ibipeba;Irecê;18000;17308;693;0,0385
2912509;Ibipitanga;Bacia do Paramirim;15842;15239;604;0,038126499
2912608;Ibiquera;Piemonte do Paraguaçu;5310;5125;185;0,034839925
2912707;Ibirapitanga;Baixo Sul;27523;25703;1820;0,066126512
2912806;Ibirapoã;Extremo Sul;8556;8004;552;0,064516129
2912905;Ibirataia;Médio Rio de Contas;20331;19224;1107;0,054448871
2913002;Ibitiara;Chapada Diamantina;16545;15803;741;0,044786945
2913101;Ibititá;Irecê;20013;19328;685;0,034227752
2913200;Ibotirama;Velho Chico;25590;24176;1413;0,055216882
2913309;Ichu;Sisal;5663;5505;158;0,027900406
2913408;Igaporã;Velho Chico;15428;14670;757;0,049066632
2913457;Igrapiúna;Baixo Sul;13638;12757;880;0,06452559
2913507;Iguaí;Médio Sudoeste da Bahia;27134;25634;1500;0,055281197
2913606;Ilhéus;Litoral Sul;176861;167600;9261;0,052363155
2913705;Inhambupe;Litoral Norte e Agreste Baiano;37144;35112;2033;0,054732931
2913804;Ipecaetá;Portal do Sertão;15815;15189;626;0,039582675
2913903;Ipiaú;Médio Rio de Contas;46310;43423;2887;0,062340747
2914000;Ipirá;Bacia do Jacuípe;71360;67615;3744;0,052466368
2914109;Ipupiara;Irecê;10023;9607;416;0,04150454
2914208;Irajuba;Vale do Jiquiriçá;7891;7563;328;0,041566341
2914307;Iramaia;Chapada Diamantina;13699;13101;598;0,043652821
2914406;Iraquara;Chapada Diamantina;23619;22610;1009;0,042719844
2914505;Irará;Portal do Sertão;31381;30005;1376;0,043848188
2914604;Irecê;Irecê;61222;58493;2729;0,044575479
2914653;Itabela;Costa do Descobrimento;29682;27848;1834;0,061788289
2914703;Itaberaba;Piemonte do Paraguaçu;65645;61656;3988;0,060751009
2914802;Itabuna;Litoral Sul;188146;177665;10481;0,055706738
2914901;Itacaré;Litoral Sul;22531;20772;1759;0,078070214
2915007;Itaeté;Chapada Diamantina;18621;17665;956;0,051339885
2915106;Itagi;Médio Rio de Contas;17044;15910;1135;0,066592349
2915205;Itagibá;Médio Rio de Contas;17455;16062;1393;0,079805213
2915304;Itagimirim;Costa do Descobrimento;7771;7219;552;0,071033329
2915353;Itaguaçu da Bahia;Irecê;14967;13877;1090;0,072826886
2915403;Itaju do Colônia;Litoral Sul;8330;7870;459;0,055102041
2915502;Itajuípe;Litoral Sul;23511;22277;1234;0,05248607
2915601;Itamaraju;Extremo Sul;70862;66783;4079;0,057562586
2915700;Itamari;Médio Rio de Contas;8968;8308;660;0,073595004
2915809;Itambé;Médio Sudoeste da Bahia;23071;22144;927;0,040180313
2915908;Itanagra;Litoral Norte e Agreste Baiano;6762;6362;400;0,059154096
2916005;Itanhém;Extremo Sul;24261;22134;2127;0,087671572
2916104;Itaparica;Metropolitano de Salvador;19836;18906;930;0,046884453
2916203;Itapé;Litoral Sul;11814;11235;579;0,04900965
2916302;Itapebi;Costa do Descobrimento;12481;11578;903;0,072349972
2916401;Itapetinga;Médio Sudoeste da Bahia;62180;59079;3102;0,049887424
2916500;Itapicuru;Litoral Norte e Agreste Baiano;37466;35350;2116;0,056477873
2916609;Itapitanga;Litoral Sul;9976;9676;300;0,030072173
2916708;Itaquara;Vale do Jiquiriçá;8109;7785;324;0,039955605
2916807;Itarantim;Médio Sudoeste da Bahia;19521;18596;924;0,047333641
2916856;Itatim;Piemonte do Paraguaçu;15401;14797;604;0,039218233
2916906;Itiruçu;Vale do Jiquiriçá;13423;12851;572;0,042613425
2917003;Itiúba;Sisal;38942;37136;1805;0,046350984
2917102;Itororó;Médio Sudoeste da Bahia;22879;21622;1257;0,054941212
2917201;Ituaçu;Sertão Produtivo;18743;17742;1000;0,053353252
2917300;Ituberá;Baixo Sul;28762;26981;1781;0,06192198
2917334;Iuiu;Sertão Produtivo;11053;10505;548;0,0495793
2917359;Jaborandi;Bacia do Rio Corrente;9126;8715;411;0,04503616
2917409;Jacaraci;Sudoeste Baiano;15668;15124;544;0,034720449
2917508;Jacobina;Piemonte da Diamantina;82314;77210;5105;0,062018612
2917607;Jaguaquara;Vale do Jiquiriçá;51055;48520;2534;0,049632749
2917706;Jaguarari;Piemonte Norte do Itapicuru;31575;29562;2013;0,063752969
2917805;Jaguaripe;Baixo Sul;18278;17290;989;0,054108765
2917904;Jandaíra;Litoral Norte e Agreste Baiano;11047;10647;400;0,036208926
2918001;Jequié;Médio Rio de Contas;148772;139969;8803;0,059171081
2918100;Jeremoabo;Semiárido Nordeste II;46691;44410;2281;0,048853098
2918209;Jiquiriçá;Vale do Jiquiriçá;14137;13490;646;0,045695692
2918308;Jitaúna;Médio Rio de Contas;17661;16494;1168;0,06613442
2918357;João Dourado;Irecê;22697;21702;996;0,043882451
2918407;Juazeiro;Sertão do São Francisco;166181;158579;7602;0,045745302
2918456;Jucuruçu;Extremo Sul;11740;11113;627;0,053407155
2918506;Jussara;Irecê;19156;18317;839;0,043798288
2918555;Jussari;Litoral Sul;7331;6910;420;0,057290956
2918605;Jussiape;Chapada Diamantina;9209;8855;354;0,038440656
2918704;Lafayette Coutinho;Vale do Jiquiriçá;4499;4292;207;0,046010224
2919058;Lagedo do Tabocal;Vale do Jiquiriçá;8900;8616;284;0,031910112
2918753;Lagoa Real;Sertão Produtivo;14528;13970;557;0,038339758
2918803;Laje;Vale do Jiquiriçá;22027;20975;1052;0,047759568
2918902;Lajedão;Extremo Sul;3372;3195;177;0,052491103
2919009;Lajedinho;Piemonte do Paraguaçu;3923;3736;187;0,047667601
2919108;Lamarão;Sisal;12131;11566;565;0,046574891
2919157;Lapão;Irecê;26149;24924;1225;0,046846916
2919207;Lauro de Freitas;Metropolitano de Salvador;118890;113898;4992;0,041988393
2919306;Lençóis;Chapada Diamantina;10538;9594;944;0,089580566
2919405;Licínio de Almeida;Sudoeste Baiano;13881;13389;492;0,035444132
2919504;Livramento de N. Senhora;Sertão Produtivo;42977;41091;1886;0,043883938
2919553;Luís Eduardo Magalhães;Bacia do Rio Grande;34787;33593;1193;0,03429442
2919603;Macajuba;Piemonte do Paraguaçu;12794;12371;422;0,032984211
2919702;Macarani;Médio Sudoeste da Bahia;16133;15090;1043;0,064650096
2919801;Macaúbas;Bacia do Paramirim;48322;46552;1771;0,036649973
2919900;Macururé;Itaparica;7458;7189;270;0,036202735
2919926;Madre de Deus;Metropolitano de Salvador;14952;14278;674;0,045077582
2919959;Maetinga;Sudoeste Baiano;8694;8317;377;0,043363239
2920007;Maiquinique;Médio Sudoeste da Bahia;9299;8727;572;0,061511991
2920106;Mairi;Bacia do Jacuípe;23075;21971;1104;0,047843987
2920205;Malhada;Velho Chico;18133;16980;1153;0,063585728
2920304;Malhada de Pedras;Sertão Produtivo;9517;9011;505;0,05306294
2920403;Manoel Vitorino;Médio Rio de Contas;17353;16475;878;0,050596439
2920452;Mansidão;Bacia do Rio Grande;14080;13330;750;0,053267045
2920502;Maracás;Vale do Jiquiriçá;25819;24326;1493;0,057825632
2920601;Maragogipe;Recôncavo;41454;39560;1895;0,045713321
2920700;Maraú;Litoral Sul;19194;18111;1083;0,056423882
2920809;Marcionílio Souza;Chapada Diamantina;12813;11976;838;0,065402326
2920908;Mascote;Litoral Sul;17114;16006;1108;0,064742316
2921005;Mata de São João;Metropolitano de Salvador;35080;32806;2274;0,064823261
2921054;Matina;Velho Chico;11287;10739;548;0,048551431
2921104;Medeiros Neto;Extremo Sul;24705;23421;1284;0,051973285
2921203;Miguel Calmon;Piemonte da Diamantina;28540;26907;1634;0,057252978
2921302;Milagres;Vale do Jiquiriçá;11160;10476;684;0,061290323
2921401;Mirangaba;Piemonte da Diamantina;18977;17527;1450;0,076408284
2921450;Mirante;Sudoeste Baiano;12206;11609;598;0,048992299
2921500;Monte Santo;Sisal;64561;61195;3367;0,052152228
2921609;Morpará;Velho Chico;9848;9436;412;0,041835906
2921708;Morro do Chapéu;Chapada Diamantina;37361;35026;2335;0,062498327
2921807;Mortugaba;Sudoeste Baiano;15370;14769;600;0,039037085
2921906;Mucugê;Chapada Diamantina;9470;9098;373;0,03938754
2922003;Mucuri;Extremo Sul;32555;30632;1923;0,059069267
2922052;Mulungu do Morro;Irecê;13711;13064;648;0,047261323
2922102;Mundo Novo;Piemonte do Paraguaçu;23843;22267;1576;0,066099065
2922201;Muniz Ferreira;Recôncavo;8003;7506;497;0,062101712
2922250;Muquém do São Francisco;Velho Chico;10388;9920;468;0,045051983
2922300;Muritiba;Recôncavo;30198;28079;2120;0,070203325
2922409;Mutuípe;Vale do Jiquiriçá;21364;20190;1174;0,054952256
2922508;Nazaré;Recôncavo;28642;26842;1800;0,062844773
2922607;Nilo Peçanha;Baixo Sul;12112;11194;919;0,075875165
2922656;Nordestina;Sisal;13681;13006;674;0,049265405
2922706;Nova Canaã;Médio Sudoeste da Bahia;17867;16649;1218;0,06817037
2922730;Nova Fátima;Bacia do Jacuípe;9420;8992;428;0,045435244
